text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@takenot_es That's odd, your purchases should stay attached. Give us a call/chat so we can dig into this w/ you: https://t.co/hApLpMlfHN ^KC",FALSE,0,takenot_es,05-07-2016 15:45,FALSE,7.50351E+17,7.50355E+17,4896645742,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@djnrrd Keep us posted, we're here to help. ^MG",FALSE,0,djnrrd,05-07-2016 15:43,FALSE,7.50351E+17,7.50354E+17,46646278,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@huzanforbes https://t.co/dgreAZQ5qf also I will forward your comments as feedback to concern team internally. (2/2) ^SP,FALSE,0,huzanforbes,05-07-2016 15:43,FALSE,7.50352E+17,7.50354E+17,153062887,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@huzanforbes Hi! I apologize for the inconvenience. You may request for return from here: (1/2) ^SP,FALSE,0,huzanforbes,05-07-2016 15:43,FALSE,7.50352E+17,7.50354E+17,153062887,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@emilyrhodesb Oh my, that is a bit much. Please report this, including the photo, to our Packaging Team here: https://t.co/XbCCSlM4hU. ^KC",FALSE,0,emilyrhodesb,05-07-2016 15:41,FALSE,7.50351E+17,7.50354E+17,7.35476E+17,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@LynseyJPledger We may ask you to wait a few days to see if it shows up, before we have other options for you. Keep us updated on this. ^KC",FALSE,0,LynseyJPledger,05-07-2016 15:40,FALSE,7.50349E+17,7.50354E+17,214101580,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@ConStar24 Sorry your package is missing, definitely not our intention. Keep us posted on the outcome of the call. We're here for you. ^KC",FALSE,1,ConStar24,05-07-2016 15:38,FALSE,7.50349E+17,7.50353E+17,109449668,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@mattr0den Be sure to let us know how Kitty reacts! Pictures are always more than welcome. <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> ^KC,FALSE,0,mattr0den,05-07-2016 15:34,FALSE,7.50347E+17,7.50352E+17,1408246904,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@abikolliari I'm sorry to hear this! What info has our support provided? How were the tickets delivered: https://t.co/3OgE6IWtny? ^LP,FALSE,0,abikolliari,05-07-2016 15:34,FALSE,7.50349E+17,7.50352E+17,449948755,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@shah_prats1489 Please get on touch with us via phone or chat here:  https://t.co/hApLpMlfHN so we can look into this for you. ^DR,FALSE,0,shah_prats1489,05-07-2016 15:32,FALSE,7.50348E+17,7.50352E+17,1064913457,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@heidicullinan Keep us posted with how the call goes, we want to make sure you're helped out. ^JW",FALSE,1,heidicullinan,05-07-2016 15:31,FALSE,7.5035E+17,7.50351E+17,16787108,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
